_id,State/UT/City,Dangerous or Careless Driving/ Overtaking etc Cases,Dangerous or Careless Driving/ Overtaking etc Injured,Dangerous or Careless Driving/ Overtaking etc Died,Overspeeding Cases,Overspeeding Injured,Overspeeding Died,Driving under Influence of Drug/Alcohol Cases,Driving under Influence of Drug/Alcohol Injured,Driving under Influence of Drug/Alcohol Died,Physical Fatigue of Drivers Cases,Physical Fatigue of Drivers Injured,Physical Fatigue of Drivers Died,Defect in Mechanical Condition of Vehicle Cases,Defect in Mechanical Condition of Vehicle Injured,Defect in Mechanical Condition of Vehicle Died,Animal Crossing Cases,Animal Crossing Injured,Animal Crossing Died,Weather Condition (Total) Cases,Weather Condition (Total) Injured,Weather Condition (Total) Died,Weather Condition (Poor Visibility) Cases,Weather Condition (Poor Visibility) Injured,Weather Condition (Poor Visibility) Died,Weather Condition (Other Causes) Cases,Weather Condition (Other Causes) Injured,Weather Condition (Other Causes) Died,Lack of Road Infrastructure Cases,Lack of Road Infrastructure Injured,Lack of Road Infrastructure Died,Vehicles Parking at Road Shoulders Cases,Vehicles Parking at Road Shoulders Injured,Vehicles Parking at Road Shoulders Died,Causes Not Known Cases,Causes Not Known Injured,Causes Not Known Died,Other Causes Cases,Other Causes Injured,Other Causes Died,Total Road Accidents Cases,Total Road Accidents Injured,Total Road Accidents Died
18,NAGALAND,2,0,1,9,9,9,3,3,2,0,0,0,6,17,7,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,1,0,1,0,0,0,0,0,0,25,35,23
19,ODISHA,990,939,416,7105,6257,3357,275,261,104,0,0,0,19,19,3,0,0,0,397,337,168,102,86,61,295,251,107,8,4,1,4,5,1,487,402,244,1698,1558,787,10983,9782,5081
20,PUNJAB,1130,577,879,3314,1601,2433,166,78,109,88,55,71,135,85,106,199,64,169,719,377,476,565,307,362,154,70,114,91,47,61,116,69,86,3,1,2,136,80,124,6097,3034,4516
21,RAJASTHAN,9615,8803,4299,9373,8619,4659,148,147,55,134,135,107,154,180,91,160,219,99,281,270,155,105,94,48,176,176,107,179,156,110,303,226,155,324,322,161,283,280,152,20954,19357,10043
22,SIKKIM,36,67,12,40,49,20,11,6,10,1,1,0,6,11,5,0,0,0,6,5,6,5,2,6,1,3,0,3,7,0,1,0,1,0,0,0,18,32,10,122,178,64
23,TAMIL NADU,8960,8943,2369,42079,42580,11419,372,408,123,183,175,48,826,666,290,496,505,192,1131,1064,360,779,714,243,352,350,117,83,69,37,284,339,111,381,399,118,887,848,317,55682,55996,15384
24,TELANGANA,1886,4118,374,17386,13075,6638,1487,2503,339,24,14,15,52,36,17,49,30,22,46,30,19,39,25,15,7,5,4,41,36,9,39,25,17,0,0,0,305,240,107,21315,20107,7557
25,TRIPURA,64,92,18,413,452,176,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,546,194
26,UTTAR PRADESH,17700,10092,11479,7461,4399,4868,1182,754,795,474,245,313,375,270,213,710,420,525,2242,1719,1225,1746,1380,982,496,339,243,602,394,335,403,265,266,661,414,539,1901,841,1234,33711,19813,21792
27,UTTARAKHAND,391,298,223,733,610,415,47,43,21,28,17,10,58,39,26,1,2,0,52,45,46,36,29,25,16,16,21,10,9,12,0,0,0,80,55,68,5,9,3,1405,1127,824
28,WEST BENGAL,2534,1919,1411,3361,2933,1947,105,79,47,65,47,36,633,671,367,91,78,28,452,382,253,259,235,143,193,147,110,94,84,46,87,50,39,619,592,328,3460,2961,1329,11501,9796,5831
